招聘岗位,企业名称,工作城市,工作区域,最低月薪_元,最高月薪_元,中位月薪_元,经验段,经验年限下限,经验年限上限,学历层级,AI标签列表,主要AI方向,岗位摘要,核心技能列表,招聘发布日期,发布月份
审计学/税务教师,西南财经大学天府学院,德阳,,6666,8333,7499.5,无经验要求,,,硕士,数据挖掘,数据挖掘,审计税务教学与实务指导,数据挖掘、审计实务、税务实务、教学能力、科研能力,2024-10-26 ,2024-10
系统架构师,上海怡海软件技术有限公司,上海,长宁区,17000,23000,20000.0,5-10年,5,10,本科,云计算,云计算,负责系统架构设计与优化，指导核心技术开发,微服务架构、Java、阿里云、AWS、容器技术、CRM系统、技术文档编写、英文读写能力,2024-03-29 ,2024-03
高级数据产品经理,深圳市睿服科技有限公司,深圳,福田区,15000,25000,20000.0,3-5年,3,5,本科,数据挖掘、大数据平台,大数据平台,数据产品规划与数据应用管理,Python、SQL、数据挖掘、Axure、BI、数据治理、大数据平台,2024-05-08 ,2024-05
初级软件测试工程师,浙江宇视科技有限公司,杭州,滨江区,7000,14000,10500.0,1-3年,1,3,本科,智能家居,智能家居,负责智能家居产品软件测试与验证,测试理论、数据库、Linux操作系统、测试用例设计、测试环境搭建、测试报告撰写、智能家居产品,2024-07-11 ,2024-07
资深Java开发专家（数据方向）,欧科互动网络科技（北京）有限公司,深圳,福田区,35000,65000,50000.0,5-10年,5,10,本科,大数据处理,大数据处理,负责系统稳定性及架构设计，整合新技术,Java、SpringBoot、SpringCloud、MQ、ES、MySQL、HBase、Web3,2024-03-27 ,2024-03
设备管理员,北京硕林电子科技有限公司,北京,昌平区,8000,9000,8500.0,无经验要求,,,大专,人工智能,人工智能,负责公司设备管理及维护工作,设备维护、自动化设备、电气知识、英语阅读、团队合作、大数据、人工智能,2024-11-27 ,2024-11
平台算法开发工程师,深圳市格灵人工智能与机器人研究院,深圳,南山区,20000,35000,27500.0,3-5年,3,5,硕士,机器学习、深度学习、数据挖掘、计算机视觉、人工智能、图像识别,深度学习,负责深度学习平台开发与算法优化,机器学习、深度学习、图像识别、目标检测、图像分割、深度学习框架,2024-02-04 ,2024-02
产品质量经理,深南电路股份有限公司,无锡,新吴区,30000,35000,32500.0,5-10年,5,,本科,ai产品,ai产品,负责产品质量管理及团队建设,化工、工业工程、统计分析、PCB生产流程、8D流程、不合格品管理,2024-07-27 ,2024-07
统计员,沈阳利尔信电子有限公司,大连,nan,5000,6000,5500.0,3-5年,3,,本科,数据挖掘,数据挖掘,数据分析与统计，提供决策支持及优化业务流程,Excel、SPSS、R、Python、数据挖掘、统计分析,2024-10-30 ,2024-10
大数据工程师,上海宝信软件股份有限公司湛江分公司,湛江,麻章区,5000,8000,6500.0,无经验要求,,,本科,大数据分析,大数据处理,负责大数据系统运维与数据分析工作,SQL、ETL工具、数据库优化、Python、数据治理、数据分析,2024-03-04 ,2024-03
销售工程师,常州固高智能装备技术研究院有限公司,常州,武进区,12500,20833,16666.5,1-3年,2,,大专,机器人自动化,机器人自动化,负责伺服控制系统市场推广及销售工作,伺服控制系统、市场推广、销售经验、工业自动化、客户需求分析、合同管理、团队合作、出差能力,2024-08-19 ,2024-08
独立站运营,广州亿沃新能源科技有限公司,广州,海珠区,7000,9000,8000.0,1-3年,2,,大专,数据挖掘,数据挖掘,负责独立站运营及SEO优化，数据分析与广告投放,独立站运营、SEO优化、数据分析、Google广告投放、Ps软件、市场分析,2024-11-25 ,2024-11
安卓驱动工程师,小黄蜂人工智能（深圳）有限公司,深圳,龙华区,16000,20000,18000.0,3-5年,3,5,本科,智能音箱,智能音箱,负责Android驱动开发及软硬件联调,ARM体系架构、Linux内核、Android驱动开发、USB调试、快充功能开发、I2C/SPI接口、RK平台、智能音箱开发,2024-02-21 ,2024-02
生产主管（电池托盘）,浙江英汇汽车部件有限公司,嘉兴,平湖市,10000,16000,13000.0,5-10年,5,7,大专,机器人自动化,机器人自动化,负责电池托盘生产管理及焊接工艺优化,焊接工艺、CNC机加工、机器人自动化焊接、氩弧焊、搅拌摩擦焊,2024-09-09 ,2024-09
人工智能技术工程师（Java）,北京联动北方科技有限公司,武汉,洪山区,12000,18000,15000.0,3-5年,3,,本科,人工智能,人工智能,负责AI技术开发及项目实施交付工作,Java、多线程、集合类、反射、图论、Python、C语言、数据库,2024-10-22 ,2024-10
软件系统设计师,无锡日联科技股份有限公司,无锡,新吴区,15000,25000,20000.0,3-5年,3,,本科,云计算,云计算,负责软件系统架构设计与技术方案规划,C++、系统架构设计、技术选型、性能优化、云计算,2024-08-04 ,2024-08
短视频运营（AI方向）,湖北省农业规划设计研究院有限公司,武汉,洪山区,5000,10000,7500.0,1-3年,1,3,本科,语音合成、人工智能,人工智能,利用AI技术进行短视频内容策划与运营,AI工具应用、视频编辑、数据分析、语音合成、市场洞察、创新意识、抗压能力,2024-02-19 ,2024-02
城市合伙人-AI电商皮草方向,山东元维信息科技有限公司,,,15000,25000,20000.0,1-3年,2,,大专,人工智能,人工智能,推广AI电商解决方案，开拓皮草市场,AI电商解决方案推广、市场开拓、客户关系维护、市场信息分析、皮草行业知识,2024-08-15 ,2024-08
推荐算法工程师,百度在线网络技术（北京）有限公司,北京,海淀区,28000,40000,34000.0,3-5年,3,5,硕士,机器学习、深度学习、分布式计算、数据挖掘、自然语言处理、机器翻译,机器学习,负责推荐系统及机器学习算法研究与优化,机器学习、数据挖掘、分布式计算、编程语言、多线程、网络编程、算法设计,2024-03-27 ,2024-03
EDA工程师,恩吉艾科（天津）电子有限公司,天津,和平区,8000,10000,9000.0,1-3年,1,3,中专及以下,云计算、边缘计算,边缘计算,开发高效边缘计算应用，涉及实时框架与异步处理,Python、C++、分布式系统、AWS、Azure、GPU编程、Linux,2024-11-14 ,2024-11
机器视觉工程师/高级工程师,四川郎酒股份有限公司,泸州,nan,20833,41666,31249.5,5-10年,5,,本科,图像识别、深度学习,深度学习,负责机器视觉检测设备选型与优化,机器视觉、图像处理、深度学习、OpenCV、C++、Halcon、LabVIEW、C#,2024-06-26 ,2024-06
软件工程师,温氏食品集团股份有限公司,云浮,nan,8000,15000,11500.0,1-3年,1,,本科,人工智能,人工智能,负责系统设计评审及核心模块开发,代码评审、系统设计、项目交付评审、供应商协作、模块开发,2024-10-09 ,2024-10
数据工程师,兴业普惠科技（福建）有限公司,上海,浦东新区,25000,35000,30000.0,3-5年,3,5,本科,数据挖掘,数据挖掘,负责数据平台设计与开发，优化数据分析体系,SQL、Python、Spark、数据仓库、ETL、Tableau、BI工具、数据分析,2024-03-29 ,2024-03
AI算法工程师,欧梯恩智能科技（苏州）有限公司,苏州,姑苏区,18000,28000,23000.0,3-5年,3,4,本科,机器学习、人工智能、神经网络、模式识别,机器学习,图像处理与模式识别算法研究及优化,C/C++、Python、TensorFlow、PyTorch、OpenCV、YOLO、SSD、Linux,2024-09-28 ,2024-09
大模型资深算法工程师,北京三快在线科技有限公司,上海,杨浦区,25000,50000,37500.0,3-5年,3,5,硕士,语音交互、机器学习、深度学习,机器学习,负责AI功能开发与模型训练及评估方案设计,Python、深度学习、机器学习、PyTorch、TensorFlow、LLM、CUDA、GPU优化,2024-03-27 ,2024-03
大模型算法工程师--数据实验方向,北京三快在线科技有限公司,北京,朝阳区,25000,50000,37500.0,1-3年,1,3,硕士,语音交互、机器学习、自然语言处理,自然语言处理,优化训练数据，提升AI模型性能,Python、SQL、PySpark、Elasticsearch、Postgres、Docker、Kubernetes,2024-03-27 ,2024-03
风控策略产品,北京三快在线科技有限公司,北京,朝阳区,15000,30000,22500.0,无经验要求,,,硕士,数据挖掘,数据挖掘,负责风控策略设计与风险数据分析,数据分析、SQL、风险控制、产品设计、策略优化、异常交易识别、风控建模,2024-03-27 ,2024-03
评价作者增长算法专家,北京三快在线科技有限公司,上海,杨浦区,30000,50000,40000.0,1-3年,1,3,硕士,强化学习,强化学习,构建作者增长算法策略，优化智能营销系统,因果推断、动态定价、强化学习、大模型、算法策略、智能营销系统、作者增长策略,2024-03-28 ,2024-03
广告平台-后端开发工程师,北京三快在线科技有限公司,北京,朝阳区,20000,32000,26000.0,0-1年,0,1,本科,机器学习,机器学习,负责广告平台系统开发与架构优化,Java、C++、设计模式、中间件、多线程、并发处理、分布式系统,2024-03-28 ,2024-03
流程数字化总监,深圳市远邦进出口有限公司,深圳,福田区,30000,60000,45000.0,5-10年,5,10,本科,数据挖掘,数据挖掘,负责流程数字化规划与数据治理，推动企业数字化转型,流程数字化、数据挖掘、数据分析、系统架构设计、项目管理、跨部门协作,2024-04-02 ,2024-04
测试经理,广东瑞德智能科技股份有限公司,佛山,顺德区,15000,25000,20000.0,5-10年,5,,大专,智能家居,智能家居,负责产品测试方案设计与团队管理，提升测试能力,自主编程、硬件处理、电路原理图分析、测试方案设计、团队管理、测试程序优化,2024-08-08 ,2024-08
DBA开发工程师,山西浪潮智华电子有限公司,昆明,nan,10000,12000,11000.0,1-3年,1,3,本科,人工智能,人工智能,负责数据库设计开发与维护，支持业务增长,SQL、ETL工具、数据库管理系统、数据仓库、大数据、人工智能,2024-11-13 ,2024-11
助理数字化顾问,奥雅纳工程咨询（上海）有限公司,上海,徐汇区,10000,15000,12500.0,1-3年,1,3,硕士,机器学习、人工智能,机器学习,负责数字化平台开发与数据分析工作,Python、C#、JavaScript、机器学习、数据分析、数据库、Web后端框架,2024-03-27 ,2024-03
HMI UE/UI设计师,优华劳斯汽车系统(上海)有限公司,合肥,经开区,15000,20833,17916.5,3-5年,3,,本科,人机交互,人机交互,设计车辆交互模型及用户体验方案,交互设计、用户体验研究、Adobe Creative Suite、原型设计、三维建模、沟通能力,2024-10-03 ,2024-10
解决方案经理,中国电信股份有限公司湖南分公司,衡阳,nan,8000,16000,12000.0,实习/应届,,,本科,人工智能、云计算,人工智能,售前支撑与解决方案设计,客户需求分析、解决方案设计、网络优化、终端管理、云计算集成,2024-08-20 ,2024-08
运动控制软件工程师,广州人福医疗设备有限公司,佛山,南海区,10000,16666,13333.0,3-5年,3,,本科,机器人自动化,机器人自动化,负责运动控制软件设计与开发，机器人自动化应用,C/C++、Python、Linux操作系统、运动控制理论、运动控制算法,2024-10-18 ,2024-10
运维工程师,长沙庆意电子有限公司,长沙,nan,8000,12000,10000.0,3-5年,3,,大专,云计算,云计算,负责云计算基础设施部署维护与优化,云计算、Linux系统管理、云平台部署、网络安全、自动化测试,2024-09-01 ,2024-09
搜索推荐产品经理,北京作业帮线上学科培训学校,北京,海淀区,20000,40000,30000.0,3-5年,3,5,本科,AI产品,人工智能,负责搜索推荐及NLP算法优化与产品策略制定,数据洞察、SQL、项目管理、用户调研、数据分析、算法优化、产品策略,2024-03-29 ,2024-03
算法工程师,北京汇易达数字科技有限公司,南京,建邺区,20000,35000,27500.0,5-10年,5,10,本科,机器学习、大数据处理、数据挖掘、人工智能、自然语言处理,机器学习,负责保险数据挖掘及算法研究，构建预测与分类模型,机器学习、Python、SQL、Linux、Java、数据挖掘、自然语言处理,2024-03-27 ,2024-03
安全开发工程师,北京趣拿软件科技有限公司,北京,海淀区,30000,40000,35000.0,5-10年,5,10,本科,大数据分析,大数据分析,研究攻防框架及安全分析，提升安全平台,网络安全攻防、数据分析、事件响应、溯源分析、大数据安全分析、威胁监控、防御策略调优,2024-03-29 ,2024-03
机器视觉算法工程师,常州固立高端装备创新中心有限公司,常州,武进区,15000,20000,17500.0,3-5年,3,,本科,计算机视觉、深度学习,深度学习,负责计算机视觉算法研发与优化,C++、Python、PyTorch、OpenCV、算法优化,2024-11-13 ,2024-11
咨询顾问,印孚瑟斯技术（中国）有限公司,上海,闵行区,15000,29800,22400.0,5-10年,5,10,本科,人工智能,人工智能,提供生命科学与制药行业咨询及战略制定,商业分析、项目管理、沟通能力、问题解决、团队合作、中英文沟通,2024-08-26 ,2024-08
社区养老服务专员,武汉市友缘物业管理有限责任公司,武汉,江汉区,4000,6000,5000.0,1-3年,1,,大专,人工智能,人工智能,负责智慧养老平台及社区养老服务管理,智慧养老平台操作、社区服务巡查、活动统筹实施、台账管理、沟通协调能力、办公软件应用,2024-07-23 ,2024-07
